timestamp,account,issuer,currency,value
2019-01-08T05:33:40+00:00,r4PpCUaarivasoSUQcA2AhFPDL4pLUt71d,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,1000000000
2019-01-08T05:36:50+00:00,r3GRSNU1Liht9xos5sVXZJcZu5YbUPxStY,rPT74sUcTBTQhkHVD54WGncoqXEAMYbmH7,CNY,100000000
2019-01-08T06:25:21+00:00,rJd5emnKLu9HMTWP8HFv7CfJpiokee9R5g,rcXY84C4g14iFp6taFXjjQGVeHqSCh9RX,DSH,0
2019-01-08T06:25:40+00:00,rJd5emnKLu9HMTWP8HFv7CfJpiokee9R5g,rcyS4CeCZVYvTiKcxj6Sx32ibKwcDHLds,BCH,0
2019-01-08T06:25:52+00:00,rJd5emnKLu9HMTWP8HFv7CfJpiokee9R5g,rcyS4CeCZVYvTiKcxj6Sx32ibKwcDHLds,BCH,1000000000
2019-01-08T06:27:51+00:00,rJd5emnKLu9HMTWP8HFv7CfJpiokee9R5g,rcyS4CeCZVYvTiKcxj6Sx32ibKwcDHLds,BCH,1000000000
2019-01-08T06:28:41+00:00,rJd5emnKLu9HMTWP8HFv7CfJpiokee9R5g,rcyS4CeCZVYvTiKcxj6Sx32ibKwcDHLds,BCH,0
2019-01-08T06:29:10+00:00,rJd5emnKLu9HMTWP8HFv7CfJpiokee9R5g,rcyS4CeCZVYvTiKcxj6Sx32ibKwcDHLds,BCH,1000000000
2019-01-08T06:29:51+00:00,rJd5emnKLu9HMTWP8HFv7CfJpiokee9R5g,rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B,USD,0
2019-01-08T06:30:21+00:00,rJd5emnKLu9HMTWP8HFv7CfJpiokee9R5g,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,1000000000
2019-01-08T06:42:02+00:00,raaX4TLp4oZ3XX1LzD9r4z2D54G8PJR39n,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,1000000000
2019-01-08T06:43:41+00:00,raaX4TLp4oZ3XX1LzD9r4z2D54G8PJR39n,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-08T06:44:11+00:00,raaX4TLp4oZ3XX1LzD9r4z2D54G8PJR39n,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,1000000000
2019-01-08T06:50:01+00:00,rf85He5Rj7R6LVS3kFzkbBZ14FP8JLsrcB,raujtsGHt5u8pv23VWFbhxhpJKHYmzp376,CNY,0
2019-01-08T06:50:32+00:00,r3GRSNU1Liht9xos5sVXZJcZu5YbUPxStY,rPT74sUcTBTQhkHVD54WGncoqXEAMYbmH7,CNY,100000000
2019-01-08T06:51:21+00:00,rsfPNtte7quVtuNm4WtKMSkHe1F7TsCxUp,raujtsGHt5u8pv23VWFbhxhpJKHYmzp376,CNY,0
2019-01-08T06:51:30+00:00,rsfPNtte7quVtuNm4WtKMSkHe1F7TsCxUp,rPT74sUcTBTQhkHVD54WGncoqXEAMYbmH7,CNY,0
2019-01-08T06:51:41+00:00,rsfPNtte7quVtuNm4WtKMSkHe1F7TsCxUp,razqQKzJRdB4UxFPWf5NEpEG3WMkmwgcXA,CNY,0
2019-01-08T06:52:11+00:00,rPxB8GJy69PBdjDW7wHuUAM51S1SQQQH3y,raujtsGHt5u8pv23VWFbhxhpJKHYmzp376,CNY,0
2019-01-08T07:15:11+00:00,rESXFh812BMHcbWuWUfbmeLia8NefEq1ap,raujtsGHt5u8pv23VWFbhxhpJKHYmzp376,CNY,1000000000
2019-01-08T07:27:50+00:00,rnpdSmYQmxxEFjbCEnCXASgRmwGbeKXxnz,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,1000000000
2019-01-08T07:46:01+00:00,rfMSWh5d5xxBfSneHbWV585Mq6ty6fomYX,rcyS4CeCZVYvTiKcxj6Sx32ibKwcDHLds,BCH,1000000000
2019-01-08T07:57:20+00:00,rwZ3RKsi32F5jyZR6MyvPGwiXpqjhuSZNM,rpQ5GMdEr2z9y14mTDWmgaQT7yBJP2diDD,CNY,100000000
2019-01-08T08:16:30+00:00,rLGyk78j9mxz6Y4gQYmhNw5eTxSUTcrysz,rcoef87SYMJ58NAFx7fNM5frVknmvHsvJ,XAU,0
2019-01-08T08:16:42+00:00,rLGyk78j9mxz6Y4gQYmhNw5eTxSUTcrysz,r3ttJ41YnMrKiLqGUXJpQE8urqyMGjC8vE,QAU,0
2019-01-08T08:29:32+00:00,rUfqLBwVYWcyE2EWhZdt2bLbFaiptdpS9H,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,1000000000
2019-01-08T08:37:31+00:00,r9nNHpMW4TfPnmWcRHi3Qmev2jjCJ2koi4,rB3gZey7VWHYRqJHLoHDEJXJ2pEPNieKiS,REP,100000000
2019-01-08T08:37:32+00:00,r9nNHpMW4TfPnmWcRHi3Qmev2jjCJ2koi4,rckzVpTnKpP4TJ1puQe827bV3X4oYtdTP,REP,100000000
2019-01-08T08:44:32+00:00,rs6498zU9MSChKqAijmBfcLXm9AJdsRw3t,rJ1adrpGS3xsnQMb9Cw54tWJVFPuSdZHK,CNY,0
2019-01-08T08:45:00+00:00,rs6498zU9MSChKqAijmBfcLXm9AJdsRw3t,rJ1adrpGS3xsnQMb9Cw54tWJVFPuSdZHK,CNY,0
2019-01-08T08:52:30+00:00,rs6498zU9MSChKqAijmBfcLXm9AJdsRw3t,rPT74sUcTBTQhkHVD54WGncoqXEAMYbmH7,CNY,0
2019-01-08T09:07:32+00:00,r4hB34738BUs1Fmiw2ENrcSb6o185xKg2b,rpQ5GMdEr2z9y14mTDWmgaQT7yBJP2diDD,CNY,100000000
2019-01-08T09:11:41+00:00,rUjAoB9tXmt5v1DifGnfbDT6WRTX67PXvq,r3BAJKjrm147QULf3tmMrKiLonRuA7yUrD,SGD,10000
2019-01-08T09:47:51+00:00,rUjAoB9tXmt5v1DifGnfbDT6WRTX67PXvq,r3BAJKjrm147QULf3tmMrKiLonRuA7yUrD,MYR,100000
2019-01-08T09:48:40+00:00,rUjAoB9tXmt5v1DifGnfbDT6WRTX67PXvq,r3BAJKjrm147QULf3tmMrKiLonRuA7yUrD,CNY,10000
2019-01-08T09:53:30+00:00,rG9bf2pm3KZi3nDQhLWgVHEA952qrrGYvP,rPT74sUcTBTQhkHVD54WGncoqXEAMYbmH7,CNY,100000000
2019-01-08T09:53:30+00:00,r4b9huknFJSk6juYMy4CTGugaMH9s8eXTR,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,1000000000
2019-01-08T09:59:20+00:00,r3brvTHh3HwuLL1nWcYoQMwMDxztJQDjvR,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,1000000000
2019-01-08T10:54:22+00:00,rUajF4TLXJYZmPLeDrw7FP9kFpvcqqKoMW,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-08T11:00:00+00:00,rGxPDAbsRdheLUXdTcEDdPtpqSL7qLR176,rcA8X3TVMST1n3CJeAdGk1RdRCHii7N2h,ETH,0
2019-01-08T11:00:12+00:00,rGxPDAbsRdheLUXdTcEDdPtpqSL7qLR176,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,0
2019-01-08T11:00:42+00:00,rGxPDAbsRdheLUXdTcEDdPtpqSL7qLR176,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,0
2019-01-08T11:03:41+00:00,rUjAoB9tXmt5v1DifGnfbDT6WRTX67PXvq,r3BAJKjrm147QULf3tmMrKiLonRuA7yUrD,SGD,0
2019-01-08T11:03:51+00:00,rUjAoB9tXmt5v1DifGnfbDT6WRTX67PXvq,r3BAJKjrm147QULf3tmMrKiLonRuA7yUrD,MYR,0
2019-01-08T11:04:20+00:00,rUjAoB9tXmt5v1DifGnfbDT6WRTX67PXvq,r3BAJKjrm147QULf3tmMrKiLonRuA7yUrD,CNY,0
2019-01-08T11:04:21+00:00,rGxPDAbsRdheLUXdTcEDdPtpqSL7qLR176,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,0
2019-01-08T11:06:21+00:00,rf8BTunpiKq9DuF54GiNhXhphv7TLe28jf,rfVkYck2yjkGpsqWZaZbLstufCkz7i5TDd,SGD,1000000000
2019-01-08T11:10:22+00:00,rBwcW927wkU9X7ESkjfar8YT2Eh2QjR8uq,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-08T11:15:11+00:00,rUjAoB9tXmt5v1DifGnfbDT6WRTX67PXvq,rfVkYck2yjkGpsqWZaZbLstufCkz7i5TDd,SGD,10000000
2019-01-08T11:18:21+00:00,rhEDMpVpX34xaKJWG4VKdXGr1NgTWuHo99,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,1000000000
2019-01-08T11:22:11+00:00,rMz52p6Tnismokm4fAQNMyhS1BK3kKUH2Z,rpQ5GMdEr2z9y14mTDWmgaQT7yBJP2diDD,CNY,0
2019-01-08T11:22:52+00:00,rMz52p6Tnismokm4fAQNMyhS1BK3kKUH2Z,rfVkYck2yjkGpsqWZaZbLstufCkz7i5TDd,SGD,1000000
2019-01-08T11:24:31+00:00,rBwcW927wkU9X7ESkjfar8YT2Eh2QjR8uq,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-08T11:24:41+00:00,rnauv4YhVALEpv2ykK3V95um4PnX4eshP7,raEQc5krJ2rUXyi6fgmUAf63oAXmF7p6jp,ALV,0
2019-01-08T11:24:52+00:00,rBwcW927wkU9X7ESkjfar8YT2Eh2QjR8uq,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,1000000000
2019-01-08T11:29:40+00:00,rnauv4YhVALEpv2ykK3V95um4PnX4eshP7,rJ1adrpGS3xsnQMb9Cw54tWJVFPuSdZHK,CNY,1000000000
2019-01-08T11:33:20+00:00,rUjAoB9tXmt5v1DifGnfbDT6WRTX67PXvq,rMz52p6Tnismokm4fAQNMyhS1BK3kKUH2Z,INR,0
2019-01-08T11:33:31+00:00,rBwcW927wkU9X7ESkjfar8YT2Eh2QjR8uq,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-08T11:34:01+00:00,rPLkfoj8iQQsBbtEZEFr6ZpYbUJnVBrsag,rcXY84C4g14iFp6taFXjjQGVeHqSCh9RX,DSH,0
2019-01-08T11:43:50+00:00,rfYWdiESBwKxanHikuhjXH9xeUUejupb3a,r94s8px6kSw1uZ1MV98dhSRTvc6VMPoPcN,JPY,0
2019-01-08T11:45:20+00:00,rNCqSQ3uWJ5gFYfd6PfY8Na59jDk2ee4K,rPT74sUcTBTQhkHVD54WGncoqXEAMYbmH7,CNY,100000000
2019-01-08T11:48:32+00:00,r4b9huknFJSk6juYMy4CTGugaMH9s8eXTR,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL,BTC,0
2019-01-08T11:49:00+00:00,r4b9huknFJSk6juYMy4CTGugaMH9s8eXTR,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,USD,0
2019-01-08T11:49:50+00:00,rMz52p6Tnismokm4fAQNMyhS1BK3kKUH2Z,rfVkYck2yjkGpsqWZaZbLstufCkz7i5TDd,SGD,0
2019-01-08T12:00:10+00:00,rBwcW927wkU9X7ESkjfar8YT2Eh2QjR8uq,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq,EUR,1000000000
2019-01-08T12:06:51+00:00,rMz52p6Tnismokm4fAQNMyhS1BK3kKUH2Z,rfVkYck2yjkGpsqWZaZbLstufCkz7i5TDd,SGD,100000000
2019-01-08T12:11:01+00:00,rUjAoB9tXmt5v1DifGnfbDT6WRTX67PXvq,rfVkYck2yjkGpsqWZaZbLstufCkz7i5TDd,SGD,0
2019-01-08T12:11:41+00:00,rUjAoB9tXmt5v1DifGnfbDT6WRTX67PXvq,rfVkYck2yjkGpsqWZaZbLstufCkz7i5TDd,SGD,100000000
2019-01-08T12:26:51+00:00,rMz52p6Tnismokm4fAQNMyhS1BK3kKUH2Z,rfVkYck2yjkGpsqWZaZbLstufCkz7i5TDd,SGD,100000000
2019-01-08T12:27:32+00:00,rMz52p6Tnismokm4fAQNMyhS1BK3kKUH2Z,rfVkYck2yjkGpsqWZaZbLstufCkz7i5TDd,SGD,100000000
2019-01-08T12:28:50+00:00,rMz52p6Tnismokm4fAQNMyhS1BK3kKUH2Z,rfVkYck2yjkGpsqWZaZbLstufCkz7i5TDd,SGD,0
2019-01-08T12:29:01+00:00,rMz52p6Tnismokm4fAQNMyhS1BK3kKUH2Z,rfVkYck2yjkGpsqWZaZbLstufCkz7i5TDd,SGD,0
